Description,Media URL/canal,Marca,Vertical
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941264547&key=19230a2e2e5dc929c4ff39f1857d6520,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941025533&key=70d957e2abc9e2bcb9db599a4155ba45,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941025477&key=ff37cb72c6a415041e5d69ea31745260,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-940816885&key=890e0123d035084fdd7c5ff01111368d,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941720911&key=b35cad3ee1ce7ee4de87e5c653b6f06c,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941276615&key=c4a0829254cbda0a9bf14e5210be131e,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941264022&key=1e6e1d6c5d2aa5357ff791e7d2eb4a96,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941038417&key=a0a130f4604df1113a93a7637a1751bf,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941038187&key=578441f558b047c5c1be1fa048c4fc2d,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-940821030&key=120ade3bcef44586e3ae3a446456402d,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941721284&key=299cfd6c3afbfc435bbff8a1a1214117,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941276942&key=97463c0c05411c0a66e851ed58072fe0,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941264600&key=ee05b0ee63c3073e8887cf902c682cf8,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941038826&key=4690821155259dc9ce1d0e8f2f33a1fe,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941038637&key=d58f20df7f107e2c4abe62a8b0f221fb,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-940821443&key=7dd756555046a216dee236e8d88edc4f,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941442668&key=a38a38fad15aeae187cc1217e1da0c31,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941264518&key=5f170282c3ec1822235c5c578caf6720,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941202843&key=00e77209cf053b00b465a42fad324f02,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941011815&key=fcc11e6f730de4aa70758d02a7e99b9e,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-940905116&key=d7fd00140e18ab8e38139bbc614f3268,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941446092&key=3307ac75df7c840e3bda1a00213b3fa5,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941452685&key=de3b361174e179c8b9a03773eb9733b0,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941264582&key=4c8433f25446163c29671a559b8752f5,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941202877&key=e96a74c9849add9cd29b97e11013b53f,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-941013564&key=ca2ea7ec52d36333d701ef07d1116394,CALIENTE,Sport
JUGAMOS POR MAS MAS ACCIÓN.,https://dummy.com.mx/TestigosHandler/TestigosExtHandler.ashx?hit=-940905239&key=12da2326e2bf668a2ffb744b4999eaa7,CALIENTE,Sport
